Q9Y2R0
Q9NPH0
Q567V2
P05783
P80303
Q7LGA3
Q8N4Q0
P43307
P00846
P21796
Q14257
P24390
P00813
P22830
Q69YU5
O60830
O75964
P08670
P17661
P42785
Q00536
P14406
Q9H6V9
P30519
P07196
Q9UHG3
O95831
Q9UMX5
Q96MF7
Q15165
Q13011
Q70UQ0
Q02818
P24941
Q9NWM8
Q8IXJ6
Q8NBN3
P30825
P98179
O95772
Q9BWD1
O43772
P55209
O95684
P55786
Q8N2G8
A8MTT3
P07099
P45880
Q70HW3
Q13505
Q01105
O75935
Q9UIQ6
P28070
Q8WXF1
P36639
Q5BJH7
Q9HD20
Q14011
P30837
O14949
P55010
Q13423
Q8WTV0
Q99733
Q16850
O60476
O96000
Q16352
Q9BPX6
Q07065
O75153
O43852
Q9H061
Q6UW02
Q8NBT2
Q9H6D7
P50897
Q9H2D1
Q9NS69
Q8NHP8
Q93050
Q9UBV2
O95721
Q9NZ45
Q6NUM9
Q8IXU6
Q9NR77
P46108
Q7RTS9
Q9Y487
Q8IV08
Q8N4H5
O43169
Q86WA6
Q9UDW1
Q9H4I3
O14737
Q9NSK0
O43505
P13073
Q8NCH0
Q9BSH5
Q86XL3
Q99720
P38159
Q5VW38
P07197
P42892
Q9P253
O60826
Q9NRY5
A6NIH7
P35790
Q13126
Q92804
Q96KA5
Q9H8M7
P08183
Q16204
Q8TD16
P02545
Q8N4V1
Q9H6K4
P49721
Q92791
Q96GC5
O96005
P56385
Q15418
Q5BJF2
P06493
P67809
P49840
P51648
O14979
O15212
Q06323
Q9NR28
Q96JB2
Q15907
Q32P28
Q969T7
Q96CU9
Q9H773
Q6UW68
O95905
Q8IYU8
Q96CS2
O60725
Q9NX63
O14925
P49411
P50750
P11117
P31942
Q00535
A8MXV4
P06576
Q13217
Q8NBF2
P23786
O14773
O75027
P53367
Q08380
Q9BZG1
Q9Y282
P37268
Q6DKK2
Q9NX62
P46783
Q15070
Q8TAE8
P51812
P33991
P35637
Q8TBX8
Q9NZ08
Q9NZC3
O43175
Q69YQ0
Q92733
Q9P2W9
Q03252
Q13242
P09493
Q8IXH7
Q96ST2
O60506
O75298
Q13464
Q8N1F7
Q99417
Q9UHD9
P22626
P55081
Q9GZS3
Q5R3I4
Q96K76
Q16625
Q9NPJ6
Q9UL46
P35613
Q8IUD2
O75962
Q9NQZ5
P08236
P31751
Q4VCS5
Q8NC54
Q92896
Q9BU89
Q9Y4W6
P50402
P62995
Q96A26
Q96PC5
Q9C0E2
P46379
P55263
O75381
P06753
Q99729
O00459
P29083
Q8NEY8
P67936
Q13595
Q13813
Q16740
Q8N128
Q96D71
P20700
P55795
Q07021
Q96AE4
Q9BPZ3
Q9UHV9
